Txn_ID,Date,Bank,Account,Sort_Code,Account_Name,Type,Description,Reference,Money_In,Money_Out,Amount_Signed,Balance,Counterparty_Raw,Counterparty_Norm,Counterparty_Sort_Code,Counterparty_Account,Is_Own_Account_Transfer,Source_File,Source_Row
LLOYDS-Lloyds_41283719_Oct24-Mar26-11,2024-10-02,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC RAVENSCOURT LTD INV64987,,2419.44,-0.0,2419.44,203994.33,Ravenscourt Ltd,RAVENSCOURT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,11
LLOYDS-Lloyds_41283719_Oct24-Mar26-12,2024-10-02,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC SELBY HOME STORES INV46463,,7013.56,-0.0,7013.56,211007.89,Selby Home Stores,SELBY HOME STORES,,,False,Lloyds_41283719_Oct24-Mar26.csv,12
LLOYDS-Lloyds_41283719_Oct24-Mar26-13,2024-10-02,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO BRIGHTPATH PRINT LTD REF 2519,2519,0.0,2372.57,-2372.57,208635.32,Brightpath Print Ltd,BRIGHTPATH PRINT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,13
LLOYDS-Lloyds_41283719_Oct24-Mar26-14,2024-10-02,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO LUMEN ENERGY LTD REF 6635,6635,0.0,3681.8,-3681.8,204953.52,Lumen Energy Ltd,LUMEN ENERGY LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,14
LLOYDS-Lloyds_41283719_Oct24-Mar26-15,2024-10-03,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC DENBY GARDEN CENTRES INV59615,,1314.64,-0.0,1314.64,206268.16,Denby Garden Centres,DENBY GARDEN CENTRES,,,False,Lloyds_41283719_Oct24-Mar26.csv,15
LLOYDS-Lloyds_41283719_Oct24-Mar26-16,2024-10-03,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC JARROW BUILDERS MERCHANTS INV92397,,5524.45,-0.0,5524.45,211792.61,Jarrow Builders Merchants,JARROW BUILDERS MERCHANTS,,,False,Lloyds_41283719_Oct24-Mar26.csv,16
LLOYDS-Lloyds_41283719_Oct24-Mar26-17,2024-10-03,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC LARKHILL LTD INV85674,,2199.85,-0.0,2199.85,213992.46,Larkhill Ltd,LARKHILL LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,17
LLOYDS-Lloyds_41283719_Oct24-Mar26-18,2024-10-03,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO COASTLINE LOGISTICS LTD REF 4733,4733,0.0,4672.45,-4672.45,209320.01,Coastline Logistics Ltd,COASTLINE LOGISTICS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,18
LLOYDS-Lloyds_41283719_Oct24-Mar26-19,2024-10-04,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC MARSDEN DIY INV46434,,4236.6,-0.0,4236.6,213556.61,Marsden Diy,MARSDEN DIY,,,False,Lloyds_41283719_Oct24-Mar26.csv,19
LLOYDS-Lloyds_41283719_Oct24-Mar26-20,2024-10-04,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO BRAMBLE ACCOUNTANTS REF 5374,5374,0.0,4255.65,-4255.65,209300.96,Bramble Accountants,BRAMBLE ACCOUNTANTS,,,False,Lloyds_41283719_Oct24-Mar26.csv,20
LLOYDS-Lloyds_41283719_Oct24-Mar26-21,2024-10-04,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO PENNANT FREIGHT LTD REF 7065,7065,0.0,2228.33,-2228.33,207072.63,Pennant Freight Ltd,PENNANT FREIGHT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,21
LLOYDS-Lloyds_41283719_Oct24-Mar26-22,2024-10-07,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC FAIRBANK WHOLESALE INV70589,,3659.75,-0.0,3659.75,210732.38,Fairbank Wholesale,FAIRBANK WHOLESALE,,,False,Lloyds_41283719_Oct24-Mar26.csv,22
LLOYDS-Lloyds_41283719_Oct24-Mar26-23,2024-10-07,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC RAVENSCOURT LTD INV38785,,6039.99,-0.0,6039.99,216772.37,Ravenscourt Ltd,RAVENSCOURT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,23
LLOYDS-Lloyds_41283719_Oct24-Mar26-24,2024-10-07,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO HALCYON IT SERVICES REF 1525,1525,0.0,4859.52,-4859.52,211912.85,Halcyon It Services,HALCYON IT SERVICES,,,False,Lloyds_41283719_Oct24-Mar26.csv,24
LLOYDS-Lloyds_41283719_Oct24-Mar26-25,2024-10-07,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO HMRC VAT,,0.0,19059.02,-19059.02,192853.83,HMRC,HMRC,,,False,Lloyds_41283719_Oct24-Mar26.csv,25
LLOYDS-Lloyds_41283719_Oct24-Mar26-26,2024-10-08,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC ISLEY & CO INV28301,,2623.69,-0.0,2623.69,195477.52,Isley & Co,ISLEY AND CO,,,False,Lloyds_41283719_Oct24-Mar26.csv,26
LLOYDS-Lloyds_41283719_Oct24-Mar26-27,2024-10-08,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC KINGSMEAD DISTRIBUTION INV37869,,5812.42,-0.0,5812.42,201289.94,Kingsmead Distribution,KINGSMEAD DISTRIBUTION,,,False,Lloyds_41283719_Oct24-Mar26.csv,27
LLOYDS-Lloyds_41283719_Oct24-Mar26-28,2024-10-08,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC MARSDEN DIY INV94259,,4279.04,-0.0,4279.04,205568.98,Marsden Diy,MARSDEN DIY,,,False,Lloyds_41283719_Oct24-Mar26.csv,28
LLOYDS-Lloyds_41283719_Oct24-Mar26-29,2024-10-08,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO BRITISH GAS BUSINESS REF 7543,7543,0.0,2267.68,-2267.68,203301.3,British Gas Business,BRITISH GAS BUSINESS,,,False,Lloyds_41283719_Oct24-Mar26.csv,29
LLOYDS-Lloyds_41283719_Oct24-Mar26-30,2024-10-08,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO OAKLINE OFFICE LTD REF 9348,9348,0.0,3037.07,-3037.07,200264.23,Oakline Office Ltd,OAKLINE OFFICE LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,30
LLOYDS-Lloyds_41283719_Oct24-Mar26-31,2024-10-08,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO SABLE MARKETING LTD REF 5304,5304,0.0,4520.03,-4520.03,195744.2,Sable Marketing Ltd,SABLE MARKETING LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,31
LLOYDS-Lloyds_41283719_Oct24-Mar26-32,2024-10-09,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC CASTLEFORD STORES INV60432,,3676.63,-0.0,3676.63,199420.83,Castleford Stores,CASTLEFORD STORES,,,False,Lloyds_41283719_Oct24-Mar26.csv,32
LLOYDS-Lloyds_41283719_Oct24-Mar26-33,2024-10-09,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC FAIRBANK WHOLESALE INV99192,,3992.85,-0.0,3992.85,203413.68,Fairbank Wholesale,FAIRBANK WHOLESALE,,,False,Lloyds_41283719_Oct24-Mar26.csv,33
LLOYDS-Lloyds_41283719_Oct24-Mar26-34,2024-10-09,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO MERIDIAN PACKAGING LTD REF 2876,2876,0.0,4138.01,-4138.01,199275.67,Meridian Packaging Ltd,MERIDIAN PACKAGING LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,34
LLOYDS-Lloyds_41283719_Oct24-Mar26-35,2024-10-09,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO RIDLEY TOOLS LTD REF 5119,5119,0.0,5830.81,-5830.81,193444.86,Ridley Tools Ltd,RIDLEY TOOLS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,35
LLOYDS-Lloyds_41283719_Oct24-Mar26-36,2024-10-10,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC FAIRBANK WHOLESALE INV69470,,725.31,-0.0,725.31,194170.17,Fairbank Wholesale,FAIRBANK WHOLESALE,,,False,Lloyds_41283719_Oct24-Mar26.csv,36
LLOYDS-Lloyds_41283719_Oct24-Mar26-37,2024-10-10,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC ISLEY & CO INV75612,,6643.31,-0.0,6643.31,200813.48,Isley & Co,ISLEY AND CO,,,False,Lloyds_41283719_Oct24-Mar26.csv,37
LLOYDS-Lloyds_41283719_Oct24-Mar26-38,2024-10-10,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC KINGSMEAD DISTRIBUTION INV24621,,2989.3,-0.0,2989.3,203802.78,Kingsmead Distribution,KINGSMEAD DISTRIBUTION,,,False,Lloyds_41283719_Oct24-Mar26.csv,38
LLOYDS-Lloyds_41283719_Oct24-Mar26-39,2024-10-10,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC QUAYSIDE RETAIL INV23947,,7490.04,-0.0,7490.04,211292.82,Quayside Retail,QUAYSIDE RETAIL,,,False,Lloyds_41283719_Oct24-Mar26.csv,39
LLOYDS-Lloyds_41283719_Oct24-Mar26-40,2024-10-10,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO ELLERY LEGAL LLP REF 9317,9317,0.0,3712.48,-3712.48,207580.34,Ellery Legal Llp,ELLERY LEGAL LLP,,,False,Lloyds_41283719_Oct24-Mar26.csv,40
LLOYDS-Lloyds_41283719_Oct24-Mar26-41,2024-10-10,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO OAKLINE OFFICE LTD REF 7126,7126,0.0,4610.69,-4610.69,202969.65,Oakline Office Ltd,OAKLINE OFFICE LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,41
BARCLAYS-Barclays_90311276_export-4,2024-10-11,Barclays,90311276,20-45-18,Northbridge Trading Ltd,,CARD PAYMENT SAGE SOFTWARE,,0.0,463.61,-463.61,8836.39,Sage Software,SAGE SOFTWARE,,,False,Barclays_90311276_export.csv,4
LLOYDS-Lloyds_41283719_Oct24-Mar26-42,2024-10-11,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC ALDERTON RETAIL LTD INV24662,,7946.97,-0.0,7946.97,210916.62,Alderton Retail Ltd,ALDERTON RETAIL LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,42
LLOYDS-Lloyds_41283719_Oct24-Mar26-43,2024-10-11,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC ALDERTON RETAIL LTD INV88504,,3228.42,-0.0,3228.42,214145.04,Alderton Retail Ltd,ALDERTON RETAIL LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,43
LLOYDS-Lloyds_41283719_Oct24-Mar26-44,2024-10-11,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC JARROW BUILDERS MERCHANTS INV41385,,1151.82,-0.0,1151.82,215296.86,Jarrow Builders Merchants,JARROW BUILDERS MERCHANTS,,,False,Lloyds_41283719_Oct24-Mar26.csv,44
LLOYDS-Lloyds_41283719_Oct24-Mar26-45,2024-10-11,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO ASHFORD STEEL SUPPLIES REF 2403,2403,0.0,4431.66,-4431.66,210865.2,Ashford Steel Supplies,ASHFORD STEEL SUPPLIES,,,False,Lloyds_41283719_Oct24-Mar26.csv,45
LLOYDS-Lloyds_41283719_Oct24-Mar26-46,2024-10-11,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO ASHFORD STEEL SUPPLIES REF 9727,9727,0.0,4630.13,-4630.13,206235.07,Ashford Steel Supplies,ASHFORD STEEL SUPPLIES,,,False,Lloyds_41283719_Oct24-Mar26.csv,46
LLOYDS-Lloyds_41283719_Oct24-Mar26-47,2024-10-11,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO OAKLINE OFFICE LTD REF 8787,8787,0.0,5689.06,-5689.06,200546.01,Oakline Office Ltd,OAKLINE OFFICE LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,47
LLOYDS-Lloyds_41283719_Oct24-Mar26-48,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC CASTLEFORD STORES INV54313,,864.07,-0.0,864.07,201410.08,Castleford Stores,CASTLEFORD STORES,,,False,Lloyds_41283719_Oct24-Mar26.csv,48
LLOYDS-Lloyds_41283719_Oct24-Mar26-49,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC ORWELL FURNISHINGS LTD INV25860,,2633.66,-0.0,2633.66,204043.74,Orwell Furnishings Ltd,ORWELL FURNISHINGS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,49
LLOYDS-Lloyds_41283719_Oct24-Mar26-50,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC RAVENSCOURT LTD INV40161,,5289.83,-0.0,5289.83,209333.57,Ravenscourt Ltd,RAVENSCOURT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,50
LLOYDS-Lloyds_41283719_Oct24-Mar26-51,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,DD,DD BRITISH GAS BUSINESS,,0.0,689.01,-689.01,208644.56,British Gas Business,BRITISH GAS BUSINESS,,,False,Lloyds_41283719_Oct24-Mar26.csv,51
LLOYDS-Lloyds_41283719_Oct24-Mar26-52,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,DD,DD BT BUSINESS,,0.0,413.85,-413.85,208230.71,Bt Business,BT BUSINESS,,,False,Lloyds_41283719_Oct24-Mar26.csv,52
LLOYDS-Lloyds_41283719_Oct24-Mar26-53,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,DD,DD LUMEN ENERGY LTD,,0.0,1086.06,-1086.06,207144.65,Lumen Energy Ltd,LUMEN ENERGY LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,53
LLOYDS-Lloyds_41283719_Oct24-Mar26-54,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,DD,DD THAMES WATER,,0.0,227.25,-227.25,206917.4,Thames Water,THAMES WATER,,,False,Lloyds_41283719_Oct24-Mar26.csv,54
LLOYDS-Lloyds_41283719_Oct24-Mar26-55,2024-10-14,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO ASHFORD STEEL SUPPLIES REF 1964,1964,0.0,1489.31,-1489.31,205428.09,Ashford Steel Supplies,ASHFORD STEEL SUPPLIES,,,False,Lloyds_41283719_Oct24-Mar26.csv,55
BARCLAYS-Barclays_90311276_export-5,2024-10-15,Barclays,90311276,20-45-18,Northbridge Trading Ltd,,TFR FROM 30-96-26 41283719,,4000.0,0.0,4000.0,12836.39,Northbridge Trading Ltd,NORTHBRIDGE TRADING LTD,30-96-26,41283719,True,Barclays_90311276_export.csv,5
LLOYDS-Lloyds_41283719_Oct24-Mar26-56,2024-10-15,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC QUAYSIDE RETAIL INV41195,,2872.12,-0.0,2872.12,208300.21,Quayside Retail,QUAYSIDE RETAIL,,,False,Lloyds_41283719_Oct24-Mar26.csv,56
LLOYDS-Lloyds_41283719_Oct24-Mar26-57,2024-10-15,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO CARROW SECURITY LTD REF 8744,8744,0.0,1571.53,-1571.53,206728.68,Carrow Security Ltd,CARROW SECURITY LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,57
LLOYDS-Lloyds_41283719_Oct24-Mar26-58,2024-10-15,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO FENWICK COMPONENTS LTD REF 9834,9834,0.0,924.02,-924.02,205804.66,Fenwick Components Ltd,FENWICK COMPONENTS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,58
LLOYDS-Lloyds_41283719_Oct24-Mar26-59,2024-10-15,Lloyds,41283719,,Northbridge Trading Ltd Current,TFR,TFR TO 20-45-18 90311276,,0.0,4000.0,-4000.0,201804.66,Northbridge Trading Ltd,NORTHBRIDGE TRADING LTD,20-45-18,90311276,True,Lloyds_41283719_Oct24-Mar26.csv,59
LLOYDS-Lloyds_41283719_Oct24-Mar26-60,2024-10-16,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC DENBY GARDEN CENTRES INV96374,,4062.2,-0.0,4062.2,205866.86,Denby Garden Centres,DENBY GARDEN CENTRES,,,False,Lloyds_41283719_Oct24-Mar26.csv,60
LLOYDS-Lloyds_41283719_Oct24-Mar26-61,2024-10-16,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO BRITISH GAS BUSINESS REF 8651,8651,0.0,5203.44,-5203.44,200663.42,British Gas Business,BRITISH GAS BUSINESS,,,False,Lloyds_41283719_Oct24-Mar26.csv,61
LLOYDS-Lloyds_41283719_Oct24-Mar26-62,2024-10-16,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO COASTLINE LOGISTICS LTD REF 2612,2612,0.0,504.58,-504.58,200158.84,Coastline Logistics Ltd,COASTLINE LOGISTICS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,62
BARCLAYS-Barclays_90311276_export-6,2024-10-17,Barclays,90311276,20-45-18,Northbridge Trading Ltd,,CARD PAYMENT AMAZON BUSINESS,,0.0,43.27,-43.27,12793.12,Amazon Business,AMAZON BUSINESS,,,False,Barclays_90311276_export.csv,6
LLOYDS-Lloyds_41283719_Oct24-Mar26-63,2024-10-17,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC HEXHAM SUPPLIES LTD INV35112,,2183.63,-0.0,2183.63,202342.47,Hexham Supplies Ltd,HEXHAM SUPPLIES LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,63
LLOYDS-Lloyds_41283719_Oct24-Mar26-64,2024-10-17,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO BT BUSINESS REF 5092,5092,0.0,5265.74,-5265.74,197076.73,Bt Business,BT BUSINESS,,,False,Lloyds_41283719_Oct24-Mar26.csv,64
LLOYDS-Lloyds_41283719_Oct24-Mar26-65,2024-10-17,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO OAKLINE OFFICE LTD REF 7912,7912,0.0,1223.41,-1223.41,195853.32,Oakline Office Ltd,OAKLINE OFFICE LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,65
LLOYDS-Lloyds_41283719_Oct24-Mar26-66,2024-10-18,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC CASTLEFORD STORES INV40982,,1997.23,-0.0,1997.23,197850.55,Castleford Stores,CASTLEFORD STORES,,,False,Lloyds_41283719_Oct24-Mar26.csv,66
LLOYDS-Lloyds_41283719_Oct24-Mar26-67,2024-10-18,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO COASTLINE LOGISTICS LTD REF 3697,3697,0.0,2366.99,-2366.99,195483.56,Coastline Logistics Ltd,COASTLINE LOGISTICS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,67
LLOYDS-Lloyds_41283719_Oct24-Mar26-68,2024-10-18,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO VODAFONE BUSINESS REF 4502,4502,0.0,5208.2,-5208.2,190275.36,Vodafone Business,VODAFONE BUSINESS,,,False,Lloyds_41283719_Oct24-Mar26.csv,68
LLOYDS-Lloyds_41283719_Oct24-Mar26-69,2024-10-21,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC BEXLEY HOMEWARE PLC INV85914,,6438.75,-0.0,6438.75,196714.11,Bexley Homeware Plc,BEXLEY HOMEWARE PLC,,,False,Lloyds_41283719_Oct24-Mar26.csv,69
LLOYDS-Lloyds_41283719_Oct24-Mar26-70,2024-10-21,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC EVERLY INTERIORS LTD INV34890,,3014.32,-0.0,3014.32,199728.43,Everly Interiors Ltd,EVERLY INTERIORS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,70
LLOYDS-Lloyds_41283719_Oct24-Mar26-71,2024-10-21,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC RAVENSCOURT LTD INV96752,,6303.58,-0.0,6303.58,206032.01,Ravenscourt Ltd,RAVENSCOURT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,71
LLOYDS-Lloyds_41283719_Oct24-Mar26-72,2024-10-21,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO KESTREL FUEL CARDS REF 1936,1936,0.0,443.33,-443.33,205588.68,Kestrel Fuel Cards,KESTREL FUEL CARDS,,,False,Lloyds_41283719_Oct24-Mar26.csv,72
LLOYDS-Lloyds_41283719_Oct24-Mar26-73,2024-10-21,Lloyds,41283719,,Northbridge Trading Ltd Current,TFR,TFR TO 60-12-44 77120931,,0.0,56000.0,-56000.0,149588.68,Northbridge Trading Ltd,NORTHBRIDGE TRADING LTD,60-12-44,77120931,True,Lloyds_41283719_Oct24-Mar26.csv,73
NATWEST-NatWest_77120931_statement-6,2024-10-21,NatWest,77120931,,Northbridge Trading Ltd,TFR,TFR FROM 30-96-26 41283719,,56000.0,0.0,56000.0,98810.1,Northbridge Trading Ltd,NORTHBRIDGE TRADING LTD,30-96-26,41283719,True,NatWest_77120931_statement.xlsx,6
LLOYDS-Lloyds_41283719_Oct24-Mar26-74,2024-10-22,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC CASTLEFORD STORES INV34356,,1234.47,-0.0,1234.47,150823.15,Castleford Stores,CASTLEFORD STORES,,,False,Lloyds_41283719_Oct24-Mar26.csv,74
LLOYDS-Lloyds_41283719_Oct24-Mar26-75,2024-10-22,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC CASTLEFORD STORES INV98501,,7422.19,-0.0,7422.19,158245.34,Castleford Stores,CASTLEFORD STORES,,,False,Lloyds_41283719_Oct24-Mar26.csv,75
LLOYDS-Lloyds_41283719_Oct24-Mar26-76,2024-10-22,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC FAIRBANK WHOLESALE INV17455,,8194.08,-0.0,8194.08,166439.42,Fairbank Wholesale,FAIRBANK WHOLESALE,,,False,Lloyds_41283719_Oct24-Mar26.csv,76
LLOYDS-Lloyds_41283719_Oct24-Mar26-77,2024-10-22,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO BRIGHTPATH PRINT LTD REF 5033,5033,0.0,3536.68,-3536.68,162902.74,Brightpath Print Ltd,BRIGHTPATH PRINT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,77
LLOYDS-Lloyds_41283719_Oct24-Mar26-78,2024-10-22,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO COASTLINE LOGISTICS LTD REF 2343,2343,0.0,2602.47,-2602.47,160300.27,Coastline Logistics Ltd,COASTLINE LOGISTICS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,78
NATWEST-NatWest_77120931_statement-7,2024-10-22,NatWest,77120931,,Northbridge Trading Ltd,FPO,FPO HMRC PAYE 1024,,0.0,11352.52,-11352.52,87457.58,HMRC,HMRC,,,False,NatWest_77120931_statement.xlsx,7
BARCLAYS-Barclays_90311276_export-7,2024-10-23,Barclays,90311276,20-45-18,Northbridge Trading Ltd,,CARD PAYMENT ROYAL MAIL,,0.0,80.93,-80.93,12712.19,Royal Mail,ROYAL MAIL,,,False,Barclays_90311276_export.csv,7
LLOYDS-Lloyds_41283719_Oct24-Mar26-79,2024-10-23,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC EVERLY INTERIORS LTD INV98039,,5734.91,-0.0,5734.91,166035.18,Everly Interiors Ltd,EVERLY INTERIORS LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,79
